Name,Height,Weight,Reach,Stance,Birthday,Nickname
Randy Brown,6' 3",170 lbs.,78",Orthodox,Jul 08  1990,Rudeboy,
Damien Brown,5' 10",155 lbs.,68",Orthodox,Dec 25  1984,Beatdown,
TJ Brown,5' 9",145 lbs.,72",Switch,May 22  1990,Downtown,
Humberto Brown,5' 10",145 lbs.,71",,Nov 03  1984,El Gato Negro,
Travis Browne,6' 6",255 lbs.,79",Orthodox,Jul 17  1982,Hapa,
Junie Browning,5' 9",155 lbs.,--,Orthodox,May 12  1984,,
Jules Bruchez,6' 0",205 lbs.,--,Southpaw,Aug 16  1977,,
Justin Bruckmann,5' 9",170 lbs.,--,Orthodox,--,Loaf,
Steve Bruno,5' 10",170 lbs.,--,Orthodox,Nov 03  1981,Hollywood,
Fernando Bruno,5' 6",145 lbs.,70",,Feb 24  1982,Acougueiro,
Derek Brunson,6' 1",185 lbs.,77",Southpaw,Jan 04  1984,,
Josh Bryant,5' 10",185 lbs.,--,Orthodox,Apr 23  1980,The Beast,
Dennis Bryant,6' 0",205 lbs.,72",Orthodox,Oct 18  1985,The Beard,
Justin Buchholz,6' 0",155 lbs.,73",Orthodox,Aug 22  1983,,
Zak Bucia,5' 10",170 lbs.,--,,--,,
Courtney Buck,5' 10",135 lbs.,--,Orthodox,Mar 19  1982,,
Julia Budd,5' 7",145 lbs.,67",,Jul 04  1983,,
Mike Budnik,5' 9",145 lbs.,68",Orthodox,Aug 08  1974,,
Francisco Bueno,5' 9",225 lbs.,--,Orthodox,--,,
Mayra Bueno Silva,5' 6",135 lbs.,66",Orthodox,Aug 22  1991,Sheetara,
Paul Buentello,6' 2",245 lbs.,77",Orthodox,Jan 16  1974,The Headhunter,
Modestas Bukauskas,6' 3",205 lbs.,--,,Feb 10  1994,,
Lee Kwan Bum,6' 2",286 lbs.,--,Orthodox,--,,
Josh Bumgarner,6' 1",170 lbs.,--,,--,,
Shawn Bunch,5' 5",135 lbs.,--,,Mar 19  1983,Bunch the Great,
Wuliji Buren,5' 9",135 lbs.,69",Orthodox,Mar 01  1989,Beast Master,
Shane Burgos,5' 11",145 lbs.,75",Orthodox,Mar 19  1991,Hurricane,
Joshua Burkman,5' 10",170 lbs.,72",Orthodox,Apr 10  1980,The People's Warrior,
Mads Burnell,5' 8",145 lbs.,69",Orthodox,Mar 06  1994,,
Mikey Burnett,5' 6",170 lbs.,--,Orthodox,Apr 12  1974,The Eastside Assassin,
Kevin Burns,5' 10",170 lbs.,74",Orthodox,Mar 03  1980,The Fire,
Gilbert Burns,5' 10",170 lbs.,71",Orthodox,Jul 20  1986,Durinho,
Josh Burns,6' 1",244 lbs.,--,,May 15  1978,The Hammer,
Herbert Burns,5' 9",145 lbs.,73",Orthodox,Feb 02  1988,The Blaze,
Derrick Burnsed,--,155 lbs.,--,,--,,
Nah-Shon Burrell,5' 11",170 lbs.,73",Orthodox,Feb 05  1990,The Rock n Rolla,
Martin Buschkamp,5' 9",145 lbs.,70",Orthodox,Jan 06  1991,Barracuda,
George Bush,6' 1",205 lbs.,--,,--,,
Bubba Bush,6' 0",185 lbs.,73",Orthodox,Jul 24  1985,The Fightin' Texas Aggie,
Murilo Bustamante,6' 2",183 lbs.,--,Orthodox,Jul 30  1966,,
Nick Bustamante,5' 9",170 lbs.,--,,--,,
Eduardo Bustillos,5' 8",135 lbs.,--,,Jun 02  1987,,
Jason Butcher,6' 3",185 lbs.,--,,Oct 23  1984,,
Todd Butler,6' 1",200 lbs.,--,Southpaw,--,,
Goldman Butler,--,--,--,,--,,
Ian Butler,5' 8",155 lbs.,--,,--,,
Raphael Butler,6' 3",261 lbs.,--,,Jan 04  1984,The Silencer,
JP Buys,5' 6",125 lbs.,66",Orthodox,Apr 30  1996,,
Charles Byrd,5' 10",185 lbs.,73",Orthodox,Oct 11  1983,Kid Dynamite,
Steve Byrnes,6' 0",170 lbs.,--,Orthodox,--,The Sergeant,
Michael Byrnes,5' 11",155 lbs.,--,,Jul 17  1990,,
Yan Cabral,5' 11",155 lbs.,73",Orthodox,May 13  1983,,
Alvin Cacdac,5' 6",125 lbs.,--,Orthodox,--,,
Alex Caceres,5' 10",145 lbs.,73",Southpaw,Jun 20  1988,Bruce Leeroy,
Priscila Cachoeira,5' 7",125 lbs.,65",Orthodox,Aug 19  1988,Zombie Girl,
Travis Calanoc,5' 8",145 lbs.,--,Orthodox,--,The Dark Knight,
Joanne Calderwood,5' 6",125 lbs.,65",Orthodox,Dec 23  1985,JoJo,
Darrion Caldwell,5' 10",135 lbs.,--,,Dec 19  1987,The Wolf,
Cynthia Calvillo,5' 4",115 lbs.,64",Orthodox,Jul 13  1987,,
Joe Camacho,5' 9",155 lbs.,--,Orthodox,Mar 10  1972,,
Frank Camacho,5' 10",170 lbs.,73",Orthodox,May 18  1989,The Crank,
Fabricio Camoes,5' 10",155 lbs.,73",Orthodox,Dec 23  1978,Morango,
Chris Camozzi,6' 2",185 lbs.,76",Orthodox,Nov 20  1986,,
Brian Camozzi,6' 2",170 lbs.,78",Orthodox,Jun 24  1991,Mantis,
Mike Campbell,5' 9",155 lbs.,--,Southpaw,--,The Beast,
Thomas Campbell,--,--,--,,--,,
Shane Campbell,6' 0",155 lbs.,71",Orthodox,Jan 21  1987,Shaolin,
John Campetella,5' 9",235 lbs.,--,Orthodox,--,,
Wagner Campos,5' 6",145 lbs.,--,Southpaw,Jul 31  1981,Galeto,
Derek Campos,5' 9",155 lbs.,--,,Apr 01  1988,The Stallion,
Will Campuzano,5' 9",125 lbs.,70",Orthodox,May 27  1986,,
Aleksa Camur,6' 1",205 lbs.,74",Orthodox,Sep 25  1995,,
Chico Camus,5' 6",125 lbs.,66",Orthodox,Jan 26  1985,The King,
Asbel Cancio,5' 10",225 lbs.,--,,--,,
Carlos Candelario,5' 8",125 lbs.,67",Southpaw,Jun 04  1991,The Cannon,
Ronaldo Candido,5' 6",125 lbs.,--,Southpaw,Apr 24  1989,Pacman,
Luiz Cane,6' 2",185 lbs.,77",Southpaw,Apr 24  1981,Banha,
Guido Cannetti,5' 6",135 lbs.,68",Southpaw,Dec 19  1979,Ninja,
Jared Cannonier,5' 11",185 lbs.,77",Switch,Mar 16  1984,The Killa Gorilla,
Jose Canseco,6' 4",240 lbs.,--,Orthodox,Jul 02  1964,,
Cody Canterbury,5' 8",155 lbs.,--,,--,,
Bo Cantrell,6' 2",235 lbs.,--,Orthodox,Feb 08  1969,Redrum,
Steve Cantwell,6' 2",185 lbs.,75",Orthodox,Dec 08  1986,The Robot,
Phil Caracappa,5' 8",135 lbs.,70",Orthodox,Jun 05  1992,The Hitman,
Frank Caracci,--,--,--,,--,,
Gina Carano,5' 8",145 lbs.,--,Orthodox,Apr 16  1982,Conviction,
Dos Caras Jr.,6' 4",225 lbs.,--,Orthodox,May 25  1977,,
Bryan Caraway,5' 8",135 lbs.,68",Orthodox,Aug 04  1984,Kid Lightning,
Remo Cardarelli,--,135 lbs.,--,,--,,
Phil Cardella,5' 11",155 lbs.,--,,Jul 09  1976,,
Edgar Cardenas,--,145 lbs.,--,,--,Kitty Katt,
Chris Cariaso,5' 3",125 lbs.,63",Southpaw,May 27  1981,Kamikaze,
Ronald Carillo,--,125 lbs.,--,,--,,
Rafael Carino,6' 8",245 lbs.,--,Orthodox,--,,
Don Carlo-Clauss,--,170 lbs.,--,,--,,
Antonio Carlos Junior,6' 2",185 lbs.,79",Orthodox,Mar 16  1990,Cara de Sapato,
Spike Carlyle,5' 8",145 lbs.,71",Switch,May 06  1993,Alpha Ginger,
Francis Carmont,6' 3",205 lbs.,78",Orthodox,Oct 11  1981,Limitless,
Liz Carmouche,5' 6",125 lbs.,66",Orthodox,Feb 19  1984,Girlrilla,
Roan Carneiro,5' 11",170 lbs.,74",Orthodox,Jun 02  1978,Jucao,
Renato Moicano,5' 11",155 lbs.,72",Orthodox,May 21  1989,Moicano,
Ariane Carnelossi,5' 2",115 lbs.,61",Orthodox,Nov 17  1992,Sorriso,
Luana Carolina,5' 6",125 lbs.,69",Orthodox,Jun 11  1993,Dread,
Tim Caron,6' 1",185 lbs.,--,Orthodox,Jul 24  1987,The Bear,
Gabriel Carrasco,5' 6",135 lbs.,--,,--,,
Cody Carrillo,5' 10",155 lbs.,--,,--,,
Cain Carrizosa,5' 8",155 lbs.,74",Orthodox,Jul 22  1986,The Insane,
Roger Carroll,5' 10",170 lbs.,--,,--,The Leprechaun,
Jonny Carson,5' 10",155 lbs.,--,,--,,
Scott Carson,6' 2",215 lbs.,--,,--,,
Shonie Carter,5' 10",170 lbs.,--,Southpaw,May 03  1972,Mr. International,
Bruno Carvalho,5' 8",154 lbs.,--,,Jun 07  1982,,
Antonio Carvalho,5' 9",145 lbs.,68",Orthodox,May 30  1979,Pato,
Rafael Carvalho,6' 3",185 lbs.,--,,Jul 27  1986,,
Shane Carwin,6' 2",265 lbs.,80",Orthodox,Jan 04  1975,The Engineer,
Johnny Case,5' 10",155 lbs.,72",Orthodox,Jun 28  1989,Hollywood,
Kevin Casey,5' 11",185 lbs.,77",Southpaw,Jun 15  1981,King,
Cortney Casey,5' 7",125 lbs.,67",Orthodox,May 05  1987,Cast Iron,
Brandon Cash,6' 5",255 lbs.,--,Orthodox,--,Money,
Bendy Casimir,5' 5",145 lbs.,--,Southpaw,Jun 10  1980,,
Dwayne Cason,5' 10",212 lbs.,--,Orthodox,--,,
Joe Cason,6' 3",205 lbs.,--,,Jan 19  1988,,
John Castaneda,5' 7",135 lbs.,70",Switch,Dec 18  1991,Sexy Mexi,
Eric Castile,5' 8",145 lbs.,--,,--,,
Gil Castillo,5' 9",170 lbs.,--,Southpaw,Oct 21  1965,,
Danny Castillo,5' 9",155 lbs.,71",Orthodox,Aug 25  1979,Last Call,
Raul Castillo,5' 11",185 lbs.,--,Orthodox,--,,
Jenna Castillo,5' 2",125 lbs.,--,,May 05  1982,,
Tim Catalfo,5' 11",235 lbs.,--,Orthodox,--,Obake,
Nick Catone,6' 0",185 lbs.,72",Southpaw,Sep 01  1981,The Jersey Devil,
Luke Caudillo,5' 7",155 lbs.,--,Orthodox,Nov 30  1980,Lil' Hulk,
Gesias Cavalcante,5' 8",155 lbs.,71",Orthodox,Jul 06  1983,JZ,
Rafael Feijao,6' 1",205 lbs.,73",Orthodox,Apr 14  1980,Feijao,
Magnus Cedenblad,6' 5",185 lbs.,79",Orthodox,Apr 10  1982,Jycken,
Yosdenis Cedeno,5' 8",155 lbs.,69",Orthodox,Feb 12  1985,Pink Panther,
Henry Cejudo,5' 4",135 lbs.,64",Orthodox,Feb 09  1987,The Messenger,
Adam Cella,6' 2",170 lbs.,78",,Jun 26  1985,El Naturel,
Donald Cerrone,6' 1",155 lbs.,73",Orthodox,Mar 29  1983,Cowboy,
Jared Chaffee,5' 10",155 lbs.,--,,Dec 15  1984,,
Luan Chagas,6' 0",170 lbs.,75",Orthodox,Jun 17  1993,Tarzan,
Ansar Chalangov,5' 9",170 lbs.,--,Orthodox,Oct 30  1979,,
Alex Chambers,5' 3",115 lbs.,63",Southpaw,Oct 25  1978,Astro Girl,
Mike Chandler,5' 8",155 lbs.,--,,Apr 24  1986,,
Donnie Chappell,5' 11",178 lbs.,--,Southpaw,--,,
Joe Charles,6' 1",260 lbs.,--,Southpaw,--,The Ghetto Man,
Dan Charles,6' 2",228 lbs.,--,,Sep 24  1985,The Man,
Ernest Chavez,5' 8",145 lbs.,70",Orthodox,Jun 27  1983,The Mad Titan,
Emilio Chavez,5' 9",145 lbs.,--,,--,,
Gabriel Checco,6' 1",185 lbs.,--,Switch,Apr 03  1986,Zangief,
Albert Cheng,5' 11",170 lbs.,--,Orthodox,Feb 07  1985,,
Fabio Cherant,6' 1",205 lbs.,--,Southpaw,Nov 25  1994,Water Buffalo,
Ion Cherdivara,--,205 lbs.,--,,--,,
Mark Cherico,5' 7",145 lbs.,69",Orthodox,May 12  1986,The Pride of Bloomfield,
Macy Chiasson,5' 11",135 lbs.,72",Orthodox,Jul 27  1991,,
Michael Chiesa,6' 1",170 lbs.,75",Southpaw,Dec 07  1987,Maverick,
Giga Chikadze,6' 0",145 lbs.,74",Orthodox,Aug 25  1988,,
Sako Chivitchian,5' 11",155 lbs.,--,,Mar 11  1984,,
Mu Bae Choi,6' 2",230 lbs.,--,Orthodox,Jun 27  1970,,
Hong Man Choi,7' 2",330 lbs.,--,Orthodox,Oct 30  1980,Techno Goliath,
Dooho Choi,5' 10",145 lbs.,70",Orthodox,Apr 10  1991,The Korean Superboy,
SeungWoo Choi,6' 0",145 lbs.,74",Orthodox,Nov 03  1992,Sting,
John Cholish,5' 11",155 lbs.,72",Orthodox,Dec 17  1983,,
Ryo Chonan,5' 9",170 lbs.,70",Orthodox,Oct 08  1976,Piranah,
Katlyn Chookagian,5' 9",125 lbs.,68",Orthodox,Dec 28  1988,Blonde Fighter,
Will Chope,6' 4",145 lbs.,76",Switch,Sep 08  1990,The Kill,
Joachim Christensen,6' 3",205 lbs.,76",Orthodox,Nov 07  1978,,
Dan Christison,6' 8",265 lbs.,--,Orthodox,Apr 26  1972,The Sandman,
Anthony Christodoulou,5' 9",155 lbs.,72",Orthodox,Jul 30  1987,,
Murad Chunkaiev,5' 11",185 lbs.,--,Orthodox,--,,
Steven Ciaccio,6' 0",170 lbs.,--,,--,Stryker,
Mike Ciesnolevicz,6' 0",235 lbs.,--,Orthodox,Oct 28  1979,,
Hannah Cifers,5' 1",115 lbs.,62",Orthodox,Jun 26  1992,Shockwave,
Branko Cikatic,6' 1",215 lbs.,--,Orthodox,Oct 03  1954,,
Nikolajus Cilkinas,--,--,--,Orthodox,--,,
Misha Cirkunov,6' 3",205 lbs.,77",Orthodox,Feb 27  1987,,
Johnny Cisneros,5' 11",170 lbs.,--,,Feb 05  1980,The Tattooed Terror,
Laverne Clark,5' 11",170 lbs.,--,Orthodox,Dec 02  1973,,
Logan Clark,6' 2",185 lbs.,--,Orthodox,Feb 16  1985,,
Mychal Clark,6' 3",224 lbs.,--,Orthodox,--,,
Dominic Clark,5' 10",155 lbs.,--,,Aug 01  1985,,
Heather Jo Clark,5' 6",115 lbs.,64",Orthodox,Sep 19  1980,Hurricane,
Devin Clark,6' 0",205 lbs.,75",Orthodox,Apr 12  1990,Brown Bear,
Jessica-Rose Clark,5' 5",125 lbs.,64",Orthodox,Nov 28  1987,Jessy Jess,
John Clarke,--,170 lbs.,--,,Aug 15  1977,,
Mitch Clarke,5' 10",155 lbs.,73",Orthodox,Nov 24  1985,Danger Zone,
Rich Clementi,5' 9",155 lbs.,72",Southpaw,Mar 31  1976,No Love,
Chris Clements,5' 10",170 lbs.,70",Orthodox,Feb 09  1976,The Menace,
RJ Clifford,--,160 lbs.,--,,--,,
Josh Clopton,5' 6",145 lbs.,68",Orthodox,Jul 11  1981,The Gentleman,
Brian Cobb,5' 11",155 lbs.,--,Orthodox,--,,
Darryl Cobb,5' 9",185 lbs.,--,,Aug 04  1980,,
Dave Cochran,5' 6",155 lbs.,--,,May 10  1973,,
Dakota Cochrane,5' 8",155 lbs.,--,,May 01  1986,,
Marloes Coenen,5' 9",145 lbs.,67",,Mar 31  1981,,
Marc Cofer,--,185 lbs.,--,,Mar 03  1972,,
John Cofer,5' 9",155 lbs.,73",Southpaw,Apr 29  1984,The Potter,
Chris Coggins,--,--,--,,--,,
Felipe Colares,5' 8",135 lbs.,69",Orthodox,Mar 31  1994,Cabocao,
Wayne Cole,6' 1",205 lbs.,--,Orthodox,--,,
Devin Cole,6' 4",240 lbs.,--,Orthodox,Oct 01  1976,,
Coltin Cole,--,185 lbs.,--,,Apr 24  1989,,
Ivan Cole,5' 9",135 lbs.,--,,Nov 30  1990,JP,
Mark Coleman,6' 1",205 lbs.,75",Orthodox,Dec 20  1964,The Hammer,
Cortez Coleman,6' 1",185 lbs.,--,,Jan 28  1982,Hollywood,
Clay Collard,5' 11",145 lbs.,73",Orthodox,Mar 10  1993,Cassius,
Jamie Colleen,5' 3",115 lbs.,65",Orthodox,Nov 02  1985,,
Jake Collier,6' 3",205 lbs.,78",Orthodox,Oct 25  1988,The Prototype,
Christian Colombo,6' 5",265 lbs.,80",Orthodox,Jul 01  1980,Godzilla,
Wes Combs,6' 2",205 lbs.,--,Orthodox,Jun 18  1973,The Soldier,
Carlos Condit,6' 2",170 lbs.,75",Orthodox,Apr 26  1984,The Natural Born Killer,
Chris Condo,6' 0",335 lbs.,--,Orthodox,--,,
Tristan Connelly,5' 10",170 lbs.,68",Orthodox,Dec 12  1985,Boondock,
Marcos Conrado Jr.,6' 2",220 lbs.,--,Orthodox,Mar 14  1982,,
Jeremiah Constant,6' 1",240 lbs.,--,Orthodox,Jul 19  1974,,
Jonathan Contrestano,--,155 lbs.,--,,--,JT,
Bob Cook,5' 9",170 lbs.,--,Orthodox,--,Crazy,
Mike Cook,6' 1",205 lbs.,--,Orthodox,--,,
Chad Cook,6' 2",205 lbs.,--,,Nov 07  1979,,
TJ Cook,--,205 lbs.,--,,Sep 08  1982,,
Dewey Cooper,--,205 lbs.,--,,--,The Black Cobra,
Brett Cooper,6' 0",170 lbs.,--,Orthodox,Jul 02  1987,,
Bill Cooper,--,155 lbs.,--,,May 05  1984,,
Bobby Cooper,6' 1",155 lbs.,--,,--,Super Duper,
Amanda Cooper,5' 3",115 lbs.,64",Switch,Oct 22  1991,ABC,
Kit Cope,6' 0",170 lbs.,--,Orthodox,Mar 17  1977,Havoc,
Chris Cope,6' 0",170 lbs.,72",Orthodox,Mar 05  1983,C-Murder,
Josh Copeland,6' 1",265 lbs.,75",Orthodox,Oct 20  1982,Cuddly Bear,
Michael Cora,6' 1",170 lbs.,77",Southpaw,Aug 24  1989,Kookie Monster,
Akira Corassani,5' 8",145 lbs.,68",Orthodox,Aug 27  1982,,
Muhsin Corbbrey,5' 10",155 lbs.,--,Orthodox,May 18  1978,,
Daniel Cormier,5' 11",235 lbs.,72",Orthodox,Mar 20  1979,DC,
Clint Coronel,--,155 lbs.,--,,--,,
Henry Corrales,5' 9",145 lbs.,--,,--,,
Bethe Correia,5' 5",135 lbs.,64",Orthodox,Jun 22  1983,Pitbull,
Wesley Correira,6' 3",260 lbs.,--,Orthodox,Nov 11  1978,Cabbage,
Tracy Cortez,5' 5",135 lbs.,65",Orthodox,Dec 10  1993,,
Chad Corvin,6' 5",255 lbs.,--,,--,The Brave Warrior,
Miguel Cosio,6' 4",205 lbs.,--,,--,,
Jadson Costa,5' 7",155 lbs.,--,Orthodox,--,,
Guilherme Costa,--,155 lbs.,--,,--,The Prodigy,
Randy Costa,5' 9",135 lbs.,73",Switch,Jul 06  1994,The Zohan,
Patrick Cote,5' 11",170 lbs.,71",Orthodox,Feb 29  1980,The Predator,
JC Cottrell,5' 9",155 lbs.,71",Orthodox,Nov 04  1989,Superstar,
JR Coughran,5' 6",145 lbs.,71",Orthodox,May 17  1994,Bam Bam,
Rashad Coulter,5' 11",205 lbs.,76",Orthodox,Nov 27  1981,Daywalker,
Dave Courchaine,5' 8",170 lbs.,--,,--,,
Randy Couture,6' 1",205 lbs.,75",Orthodox,Jun 22  1963,The Natural,
Kim Couture,5' 8",135 lbs.,--,Orthodox,Dec 18  1975,Sugar Free,
Ryan Couture,5' 10",155 lbs.,75",Orthodox,Aug 27  1982,,
Nikk Covert,5' 8",185 lbs.,--,,Aug 04  1969,The Brick,
Colby Covington,5' 11",170 lbs.,72",Orthodox,Feb 22  1988,Chaos,
Jeff Cox,5' 10",155 lbs.,--,Orthodox,Aug 02  1968,The Grinder,
Nathan Coy,5' 10",170 lbs.,69",Southpaw,Jul 24  1978,Soulforce,
Andrew Craig,6' 1",170 lbs.,76",Orthodox,Jan 15  1986,Highlight,
Paul Craig,6' 3",205 lbs.,76",Orthodox,Nov 27  1987,Bearjew,
Dan Cramer,6' 2",170 lbs.,--,Orthodox,Oct 31  1985,,
Alberto Crane,5' 5",155 lbs.,--,Orthodox,Jul 14  1976,,
Tim Credeur,6' 3",185 lbs.,75",Orthodox,Jul 09  1977,,
Paul Creighton,5' 6",155 lbs.,--,Southpaw,Jun 04  1970,,
Alexander Crispim,--,145 lbs.,--,,--,,
Alex Crispin,--,155 lbs.,--,,--,,
Jeff Crotty,--,155 lbs.,--,,--,,
Allen Crowder,6' 3",245 lbs.,76",Orthodox,Nov 08  1989,Pretty Boy,
Daron Cruickshank,5' 8",155 lbs.,72",Switch,Jun 11  1985,Detroit Superstar,
Richard Crunkilton,5' 7",155 lbs.,--,Orthodox,Nov 25  1979,Cleat,
Jimmy Crute,6' 2",205 lbs.,74",Orthodox,Mar 04  1996,,
Marcio Cruz,6' 4",232 lbs.,--,Orthodox,Apr 24  1978,Pe de Pano,
Dominick Cruz,5' 8",135 lbs.,68",Orthodox,Mar 09  1985,The Dominator,
Aalon Cruz,6' 0",145 lbs.,78",Switch,Sep 20  1989,,
Jay Cucciniello,5' 7",155 lbs.,--,Orthodox,Jul 23  1986,Mellow Fellow,
Josh Culibao,5' 10",155 lbs.,73",Orthodox,May 24  1994,Kuya,
Chris Culley,--,145 lbs.,--,,Mar 25  1986,,
Abel Cullum,5' 7",139 lbs.,--,Orthodox,Apr 21  1987,The Silent Assassin,
Zak Cummings,6' 0",185 lbs.,75",Southpaw,Aug 02  1984,,
Everett Cummings,--,205 lbs.,--,,--,,
Patrick Cummins,6' 2",205 lbs.,76",Orthodox,Nov 16  1980,Durkin,
Luke Cummo,6' 0",170 lbs.,74",Orthodox,Apr 27  1980,,
Alton Cunningham,6' 2",205 lbs.,77",Orthodox,Jun 24  1993,The Bo-Man,
Larry Cureton,6' 2",240 lbs.,--,Orthodox,--,,
Jeff Curran,5' 6",135 lbs.,69",Orthodox,Sep 02  1977,Big Frog,
Kailin Curran,5' 4",115 lbs.,65",Orthodox,Apr 11  1991,,
Pat Curran,5' 9",145 lbs.,--,,Aug 31  1987,Paddy Mike,
Chris Curtis,5' 10",170 lbs.,--,Orthodox,Jul 15  1987,Action-Man,
Ion Cutelaba,6' 1",205 lbs.,75",Southpaw,Dec 14  1993,The Hulk,
Gleidson Cutis,5' 9",155 lbs.,--,Orthodox,Feb 07  1989,Poney,
Sarah D'alelio,5' 7",145 lbs.,--,,Dec 13  1980,The Monster,
Marcos da Matta,5' 4",145 lbs.,--,,Mar 18  1973,Parrumpinha,
Jussier Formiga,5' 5",125 lbs.,67",Orthodox,Apr 14  1985,Formiga,
Claudio Silva,5' 11",170 lbs.,71",Southpaw,Sep 06  1982,Hannibal,
Henrique da Silva,6' 3",205 lbs.,76",Orthodox,Sep 01  1989,Frankenstein,
Alex Da Silva,5' 8",155 lbs.,73",Orthodox,Feb 04  1996,Leko,
Nicolas Dalby,5' 11",170 lbs.,74",Orthodox,Nov 16  1984,Lokomotivo,
Paul Daley,5' 9",170 lbs.,76",Orthodox,Feb 21  1983,Semtex,
Dave Dalgliesh,6' 2",205 lbs.,--,Orthodox,Apr 05  1978,,
Richard Dalton,6' 1",205 lbs.,--,Orthodox,--,,
Aisling Daly,5' 2",115 lbs.,64",Orthodox,Dec 24  1987,Ais the Bash,
Marko Damiani,6' 0",170 lbs.,--,,--,,
Rodrigo Damm,5' 7",155 lbs.,71",Orthodox,Feb 03  1980,,
Carina Damm,5' 4",135 lbs.,--,,--,Beauty But the Beast,
Cindy Dandois,5' 7",135 lbs.,68",Orthodox,Oct 26  1984,Battle Cat,
Jarjis Danho,6' 3",265 lbs.,74",Orthodox,Oct 15  1983,Man Mountain,
Raymond Daniels,6' 2",185 lbs.,--,Southpaw,--,,
Marques Daniels,--,155 lbs.,--,,--,,
Alexandre Dantas,6' 2",238 lbs.,--,Orthodox,Mar 01  1979,Cafe,
Eduardo Dantas,5' 10",135 lbs.,--,,Feb 03  1989,Dudu,
Mac Danzig,5' 8",155 lbs.,70",Orthodox,Jan 02  1980,,
Karen Darabedyan,5' 7",155 lbs.,68",Orthodox,Dec 18  1986,,
Beneil Dariush,5' 10",155 lbs.,72",Southpaw,May 06  1989,,
Sean Daugherty,6' 0",175 lbs.,--,,Dec 04  1975,,
Kyle Daukaus,6' 3",185 lbs.,76",Southpaw,Feb 27  1993,,
Brian Davidson,5' 6",145 lbs.,--,,--,,
Rick Davis,5' 9",155 lbs.,--,Orthodox,--,The Flying Squirrel,
Marcus Davis,5' 10",170 lbs.,70",Southpaw,Aug 24  1973,The Irish Hand Grenade,
LC Davis,5' 8",135 lbs.,69",Southpaw,Oct 28  1980,,
Phil Davis,6' 2",205 lbs.,79",Orthodox,Sep 25  1984,Mr. Wonderful,
Lemont Davis,5' 8",170 lbs.,--,Orthodox,--,,
Mike Davis,--,--,--,,--,,
Justin Davis,5' 11",205 lbs.,--,,Apr 01  1983,Dangerous,
Alexis Davis,5' 6",125 lbs.,68",Orthodox,Oct 04  1984,,
Danny Davis,6' 2",170 lbs.,--,,Jul 28  1982,,
Brandon Davis,5' 10",135 lbs.,72",Orthodox,May 08  1990,Killer B,
Mike Davis,6' 0",145 lbs.,72",Orthodox,Oct 07  1992,Beast Boy,
Hakeem Dawodu,5' 8",145 lbs.,73",Orthodox,Jul 02  1991,Mean,
Grant Dawson,5' 10",145 lbs.,72",Switch,Feb 20  1994,KGD,
Jason Day,6' 0",185 lbs.,72",Orthodox,May 19  1981,Dooms,
Martin Day,5' 10",135 lbs.,73",Orthodox,Nov 10  1988,The Spartan,
Angel De Anda,5' 9",225 lbs.,--,Orthodox,May 28  1985,The Dream,
Yorgan De Castro,6' 0",250 lbs.,74",Orthodox,Dec 19  1986,The Mad Titan,
Geraldo de Freitas,5' 7",135 lbs.,72",Orthodox,Sep 30  1991,Spartan,
Philip De Fries,6' 5",250 lbs.,82",Orthodox,Apr 21  1986,,
Chris de la Rocha,6' 3",250 lbs.,80",Orthodox,May 15  1979,,
Montana De La Rosa,5' 7",125 lbs.,68",Orthodox,Feb 14  1995,,
Mark De La Rosa,5' 6",135 lbs.,65",Orthodox,Aug 31  1994,Bumblebee,
Mike de la Torre,5' 11",145 lbs.,71",Orthodox,Sep 22  1986,El Cucuy,
Rodrigo de Lima,5' 7",155 lbs.,75",Orthodox,Mar 12  1991,Monstro,
Edilberto de Oliveira,6' 0",170 lbs.,--,Orthodox,Nov 22  1982,Crocota,
Johil de Oliveira,5' 6",170 lbs.,--,Orthodox,--,,
Jorge de Oliveira,5' 8",155 lbs.,71",Orthodox,Jan 22  1980,Blade,
Maria Oliveira,5' 5",115 lbs.,--,Orthodox,Dec 12  1996,Spider-Girl,
Isabela de Padua,5' 3",125 lbs.,64",Orthodox,Sep 04  1991,Belinha,
Germaine de Randamie,5' 9",135 lbs.,71",Orthodox,Apr 24  1984,The Iron Lady,
Crezio de Souza,--,170 lbs.,--,Orthodox,--,,
Tom DeBlass,6' 0",185 lbs.,75",Orthodox,May 14  1982,,
Issac DeJesus,--,145 lbs.,--,,--,,
Rafael  Del Real,5' 11",225 lbs.,--,,--,,
Shane del Rosario,6' 4",250 lbs.,79",Southpaw,Sep 23  1983,,
Humberto DeLeon,--,135 lbs.,--,,Nov 12  1989,,
Rolando Delgado,6' 3",155 lbs.,77",Orthodox,Nov 22  1981,Roli,
Israel Delgado,5' 10",155 lbs.,--,,--,,
Roland Delorme,5' 9",135 lbs.,71",Orthodox,Dec 18  1983,,
Jon Delos Reyes,5' 6",125 lbs.,67",Orthodox,Aug 19  1987,The Heat,
Jason DeLucia,5' 11",190 lbs.,--,Southpaw,Jul 24  1969,,
Justin DeMoney,--,170 lbs.,--,,Jul 01  1985,,
Chris Dempsey,5' 10",185 lbs.,72",Orthodox,Sep 08  1987,,
Nick Denis,5' 7",135 lbs.,--,Orthodox,Oct 11  1983,The Ninja of Love,
Thomas Denny,5' 10",170 lbs.,--,Orthodox,Apr 19  1971,The Wildman,
